Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_convert_section_contents,Low-Level,✓,✗,✗,✗
bfd_default_compatible,Low-Level,✓,✗,✗,✗
bfd_default_link_order,Low-Level,✓,✗,✗,✗
bfd_default_reloc_type_lookup,Low-Level,✓,✗,✗,✗
bfd_default_set_arch_mach,Low-Level,✓,✗,✗,✗
bfd_discard_section_stabs,Low-Level,✓,✗,✗,✗
bfd_dont_truncate_arname,Low-Level,✓,✗,✗,✗
bfd_dwarf1_find_nearest_line,Low-Level,✓,✗,✗,✗
bfd_dwarf2_find_nearest_line,Low-Level,✓,✗,✗,✗
bfd_dwarf2_find_nearest_line_with_alt,Low-Level,✓,✗,✗,✗
bfd_dwarf2_find_symbol_bias,Low-Level,✓,✗,✗,✗
bfd_elf32_bfd_from_remote_memory,Low-Level,✓,✗,✗,✗
bfd_elf32_checksum_contents,Low-Level,✓,✗,✗,✗
bfd_elf32_core_find_build_id,Low-Level,✓,✗,✗,✗
bfd_elf32_slurp_reloc_table,Low-Level,✓,✗,✗,✗
bfd_elf32_slurp_symbol_table,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_dyn_in,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_dyn_out,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_phdr_in,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_phdr_out,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_reloc_in,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_reloc_out,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_reloca_in,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_reloca_out,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_symbol_in,Low-Level,✓,✗,✗,✗
bfd_elf32_swap_symbol_out,Low-Level,✓,✗,✗,✗
bfd_elf64_bfd_from_remote_memory,Low-Level,✓,✗,✗,✗
bfd_elf64_checksum_contents,Low-Level,✓,✗,✗,✗
bfd_elf64_core_find_build_id,Low-Level,✓,✗,✗,✗
bfd_elf64_slurp_reloc_table,Low-Level,✓,✗,✗,✗
bfd_elf64_slurp_symbol_table,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_dyn_in,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_dyn_out,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_phdr_in,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_phdr_out,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_reloc_in,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_reloc_out,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_reloca_in,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_reloca_out,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_symbol_in,Low-Level,✓,✗,✗,✗
bfd_elf64_swap_symbol_out,Low-Level,✓,✗,✗,✗
bfd_elf_add_dt_needed_tag,Low-Level,✓,✗,✗,✗
bfd_elf_add_dynamic_entry,Low-Level,✓,✗,✗,✗
bfd_elf_add_dynamic_tags,Low-Level,✓,✗,✗,✗
bfd_elf_add_obj_attr_int,Low-Level,✓,✗,✗,✗
bfd_elf_add_obj_attr_int_string,Low-Level,✓,✗,✗,✗
bfd_elf_add_obj_attr_string,Low-Level,✓,✗,✗,✗
bfd_elf_adjust_dynamic_copy,Low-Level,✓,✗,✗,✗
bfd_elf_adjust_dynamic_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_adjust_eh_frame_global_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_allocate_ifunc_dyn_relocs,Low-Level,✓,✗,✗,✗
bfd_elf_allocate_object,Low-Level,✓,✗,✗,✗
bfd_elf_archive_symbol_lookup,Low-Level,✓,✗,✗,✗
bfd_elf_bfd_from_remote_memory,Low-Level,✓,✗,✗,✗
bfd_elf_canonicalize_dynamic_reloc,Low-Level,✓,✗,✗,✗
bfd_elf_canonicalize_dynamic_symtab,Low-Level,✓,✗,✗,✗
bfd_elf_canonicalize_reloc,Low-Level,✓,✗,✗,✗
bfd_elf_canonicalize_symtab,Low-Level,✓,✗,✗,✗
bfd_elf_check_kept_section,Low-Level,✓,✗,✗,✗
bfd_elf_convert_gnu_properties,Low-Level,✓,✗,✗,✗
bfd_elf_convert_gnu_property_size,Low-Level,✓,✗,✗,✗
bfd_elf_copy_obj_attributes,Low-Level,✓,✗,✗,✗
bfd_elf_copy_private_bfd_data,Low-Level,✓,✗,✗,✗
bfd_elf_copy_private_header_data,Low-Level,✓,✗,✗,✗
bfd_elf_copy_private_section_data,Low-Level,✓,✗,✗,✗
bfd_elf_copy_special_section_fields,Low-Level,✓,✗,✗,✗
bfd_elf_create_dynamic_sections,Low-Level,✓,✗,✗,✗
bfd_elf_create_got_section,Low-Level,✓,✗,✗,✗
bfd_elf_create_ifunc_sections,Low-Level,✓,✗,✗,✗
bfd_elf_default_action_discarded,Low-Level,✓,✗,✗,✗
bfd_elf_define_linkage_sym,Low-Level,✓,✗,✗,✗
bfd_elf_define_start_stop,Low-Level,✓,✗,✗,✗
bfd_elf_discard_section_eh_frame,Low-Level,✓,✗,✗,✗
bfd_elf_discard_section_eh_frame_hdr,Low-Level,✓,✗,✗,✗
bfd_elf_discard_section_sframe,Low-Level,✓,✗,✗,✗
bfd_elf_dynamic_symbol_p,Low-Level,✓,✗,✗,✗
bfd_elf_eh_frame_entry_present,Low-Level,✓,✗,✗,✗
bfd_elf_eh_frame_present,Low-Level,✓,✗,✗,✗
bfd_elf_eh_frame_section_offset,Low-Level,✓,✗,✗,✗
bfd_elf_end_eh_frame_parsing,Low-Level,✓,✗,✗,✗
bfd_elf_export_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_filter_global_symbols,Low-Level,✓,✗,✗,✗
bfd_elf_find_function,Low-Level,✓,✗,✗,✗
bfd_elf_find_nearest_line,Low-Level,✓,✗,✗,✗
bfd_elf_find_nearest_line_with_alt,Low-Level,✓,✗,✗,✗
bfd_elf_fix_symbol_flags,Low-Level,✓,✗,✗,✗
bfd_elf_fixup_eh_frame_hdr,Low-Level,✓,✗,✗,✗
bfd_elf_fixup_group_sections,Low-Level,✓,✗,✗,✗
bfd_elf_free_cached_info,Low-Level,✓,✗,✗,✗
bfd_elf_gc_common_final_link,Low-Level,✓,✗,✗,✗
bfd_elf_gc_common_finalize_got_offsets,Low-Level,✓,✗,✗,✗
bfd_elf_gc_mark_dynamic_ref_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_gc_mark_extra_sections,Low-Level,✓,✗,✗,✗
bfd_elf_gc_mark_reloc,Low-Level,✓,✗,✗,✗
bfd_elf_gc_record_vtentry,Low-Level,✓,✗,✗,✗
bfd_elf_gc_record_vtinherit,Low-Level,✓,✗,✗,✗
bfd_elf_get_bfd_needed_list,Low-Level,✓,✗,✗,✗
bfd_elf_get_dt_soname,Low-Level,✓,✗,✗,✗
bfd_elf_get_dynamic_reloc_section,Low-Level,✓,✗,✗,✗
bfd_elf_get_dynamic_reloc_upper_bound,Low-Level,✓,✗,✗,✗
bfd_elf_get_dynamic_symbols,Low-Level,✓,✗,✗,✗
bfd_elf_get_dynamic_symtab_upper_bound,Low-Level,✓,✗,✗,✗
bfd_elf_get_link_hash_entry,Low-Level,✓,✗,✗,✗
bfd_elf_get_reloc_upper_bound,Low-Level,✓,✗,✗,✗
bfd_elf_get_sec_type_attr,Low-Level,✓,✗,✗,✗
bfd_elf_get_section_from_dynamic_symbol,Low-Level,✓,✗,✗,✗
bfd_elf_get_special_section,Low-Level,✓,✗,✗,✗
bfd_elf_get_str_section,Low-Level,✓,✗,✗,✗
bfd_elf_get_symbol_version_string,Low-Level,✓,✗,✗,✗
