Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_get_next_section_by_name,✓,✗,✗,✗
bfd_get_reloc_upper_bound,✓,✗,✗,✗
bfd_get_relocated_section_contents,✓,✗,✗,✗
bfd_get_section_by_name,✓,✗,✗,✗
bfd_get_section_by_name_if,✓,✗,✗,✗
bfd_get_section_contents,✓,✗,✗,✗
bfd_get_sign_extend_vma,✓,✗,✗,✗
bfd_get_size,✓,✗,✗,✗
bfd_get_target_info,✓,✗,✗,✗
bfd_get_unique_section_name,✓,✗,✗,✗
bfd_getb16,✓,✗,✗,✗
bfd_getb32,✓,✗,✗,✗
bfd_getb64,✓,✗,✗,✗
bfd_getl16,✓,✗,✗,✗
bfd_getl32,✓,✗,✗,✗
bfd_gnu_truncate_arname,✓,✗,✗,✗
bfd_handle_already_linked,✓,✗,✗,✗
bfd_hash_allocate,✓,✗,✗,✗
bfd_hash_insert,✓,✗,✗,✗
bfd_hash_lookup,✓,✗,✗,✗
bfd_hash_newfunc,✓,✗,✗,✗
bfd_hash_rename,✓,✗,✗,✗
bfd_hash_replace,✓,✗,✗,✗
bfd_hash_set_default_size,✓,✗,✗,✗
bfd_hash_table_free,✓,✗,✓,✓
bfd_hash_table_init,✓,✗,✗,✗
bfd_hash_table_init_n,✓,✗,✗,✗
bfd_hash_traverse,✓,✗,✗,✗
bfd_hide_sym_by_version,✓,✗,✗,✗
bfd_i386_compatible,✓,✗,✗,✗
bfd_init,✓,✓,✓,✓
bfd_init_pagesize,✓,✗,✗,✗
bfd_init_section_compress_status,✓,✗,✗,✗
bfd_init_section_decompress_status,✓,✗,✗,✗
bfd_install_relocation,✓,✗,✗,✗
bfd_is_local_label,✓,✗,✗,✗
bfd_is_section_compressed,✓,✗,✗,✗
bfd_is_section_compressed_info,✓,✗,✗,✗
bfd_iterate_over_targets,✓,✗,✗,✗
bfd_link_add_undef,✓,✗,✗,✗
bfd_link_align_section,✓,✗,✗,✗
bfd_link_hash_lookup,✓,✗,✗,✗
bfd_link_hash_newfunc,✓,✗,✗,✗
bfd_link_hash_table_init,✓,✗,✗,✗
bfd_link_hash_traverse,✓,✗,✗,✗
bfd_link_plugin_object_p,✓,✗,✗,✗
bfd_link_repair_undef_list,✓,✗,✗,✗
bfd_link_section_stabs,✓,✗,✗,✗
bfd_lock,✓,✗,✗,✗
bfd_log2,✓,✗,✗,✗
bfd_long_bfd_n1_error,✓,✗,✗,✗
bfd_look_for_bfd_in_cache,✓,✗,✗,✗
bfd_make_readable,✓,✗,✗,✗
bfd_make_section,✓,✗,✗,✗
bfd_make_section_anyway,✓,✗,✗,✗
bfd_make_section_anyway_with_flags,✓,✗,✗,✗
bfd_make_section_old_way,✓,✗,✗,✗
bfd_make_section_with_flags,✓,✗,✗,✗
bfd_make_writable,✓,✗,✗,✗
bfd_malloc,✓,✗,✓,✓
bfd_malloc_and_get_section,✓,✓,✓,✓
bfd_map_over_sections,✓,✗,✗,✗
bfd_merge_sections,✓,✗,✗,✗
bfd_merge_sections_free,✓,✗,✗,✗
bfd_merged_section_offset,✓,✗,✗,✗
bfd_mmap,✓,✗,✗,✗
bfd_mmap_local,✓,✗,✗,✗
bfd_mmap_persistent,✓,✗,✗,✗
bfd_mmap_read_temporary,✓,✗,✗,✗
bfd_mmap_temporary,✓,✗,✗,✗
bfd_munmap_temporary,✓,✗,✗,✗
bfd_nearby_section,✓,✗,✗,✗
bfd_new_bfd,✓,✗,✗,✗
bfd_new_bfd_contained_in,✓,✗,✗,✗
bfd_new_link_order,✓,✗,✗,✗
bfd_nocore_core_file_failing_command,✓,✗,✗,✗
bfd_nocore_core_file_failing_signal,✓,✗,✗,✗
bfd_nocore_core_file_matches_executable_p,✓,✗,✗,✗
bfd_nocore_core_file_pid,✓,✗,✗,✗
bfd_nonfatal,✓,✓,✓,✓
bfd_nonfatal_message,✓,✗,✗,✗
bfd_octets_per_byte,✓,✗,✗,✗
bfd_open_file,✓,✗,✗,✗
bfd_open_file_unlocked,✓,✗,✗,✗
bfd_openr,✓,✓,✓,✓
bfd_openr_iovec,✓,✗,✗,✗
bfd_openr_next_archived_file,✓,✗,✗,✗
bfd_openstreamr,✓,✗,✗,✗
bfd_openw,✓,✗,✗,✗
bfd_pe_bfd_copy_private_bfd_data_common,✓,✗,✗,✗
bfd_pe_bfd_copy_private_section_data,✓,✗,✗,✗
bfd_pe_only_swap_filehdr_out,✓,✗,✗,✗
bfd_pe_print_ce_compressed_pdata,✓,✗,✗,✗
bfd_pe_print_private_bfd_data_common,✓,✗,✗,✗
bfd_pei_final_link_postscript,✓,✗,✗,✗
bfd_pei_only_swap_filehdr_out,✓,✗,✗,✗
bfd_pei_slurp_codeview_record,✓,✗,✗,✗
bfd_pei_swap_aouthdr_in,✓,✗,✗,✗
bfd_pei_swap_aouthdr_out,✓,✗,✗,✗
bfd_pei_swap_aux_in,✓,✗,✗,✗
bfd_pei_swap_aux_out,✓,✗,✗,✗
bfd_pei_swap_debugdir_in,✓,✗,✗,✗
bfd_pei_swap_debugdir_out,✓,✗,✗,✗
bfd_pei_swap_lineno_in,✓,✗,✗,✗
bfd_pei_swap_lineno_out,✓,✗,✗,✗
bfd_pei_swap_scnhdr_out,✓,✗,✗,✗
bfd_pei_swap_sym_in,✓,✗,✗,✗
bfd_pei_swap_sym_out,✓,✗,✗,✗
bfd_pei_write_codeview_record,✓,✗,✗,✗
bfd_perform_relocation,✓,✗,✗,✗
bfd_perror,✓,✗,✗,✗
bfd_pex64_bfd_copy_private_bfd_data_common,✓,✗,✗,✗
bfd_pex64_bfd_copy_private_section_data,✓,✗,✗,✗
bfd_pex64_only_swap_filehdr_out,✓,✗,✗,✗
bfd_pex64_print_ce_compressed_pdata,✓,✗,✗,✗
bfd_pex64_print_private_bfd_data_common,✓,✗,✗,✗
bfd_pex64i_final_link_postscript,✓,✗,✗,✗
bfd_pex64i_only_swap_filehdr_out,✓,✗,✗,✗
bfd_pex64i_slurp_codeview_record,✓,✗,✗,✗
bfd_pex64i_swap_aouthdr_in,✓,✗,✗,✗
bfd_pex64i_swap_aouthdr_out,✓,✗,✗,✗
bfd_pex64i_swap_aux_in,✓,✗,✗,✗
bfd_pex64i_swap_aux_out,✓,✗,✗,✗
bfd_pex64i_swap_debugdir_in,✓,✗,✗,✗
bfd_pex64i_swap_debugdir_out,✓,✗,✗,✗
bfd_pex64i_swap_lineno_in,✓,✗,✗,✗
bfd_pex64i_swap_lineno_out,✓,✗,✗,✗
bfd_pex64i_swap_scnhdr_out,✓,✗,✗,✗
bfd_pex64i_swap_sym_in,✓,✗,✗,✗
bfd_pex64i_swap_sym_out,✓,✗,✗,✗
bfd_pex64i_write_codeview_record,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_bfd_data,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_section_data,✓,✗,✗,✗
bfd_plugin_bfd_copy_private_symbol_data,✓,✗,✗,✗
bfd_plugin_bfd_print_private_bfd_data,✓,✗,✗,✗
bfd_plugin_canonicalize_symtab,✓,✗,✗,✗
bfd_plugin_close_file_descriptor,✓,✗,✗,✗
bfd_plugin_core_file_failing_command,✓,✗,✗,✗
bfd_plugin_core_file_failing_signal,✓,✗,✗,✗
bfd_plugin_core_file_pid,✓,✗,✗,✗
bfd_plugin_get_symbols_in_object_only,✓,✗,✗,✗
bfd_plugin_get_symtab_upper_bound,✓,✗,✗,✗
bfd_plugin_make_empty_symbol,✓,✗,✗,✗
bfd_plugin_object_p,✓,✗,✗,✗
bfd_plugin_open_input,✓,✗,✗,✗
bfd_plugin_sizeof_headers,✓,✗,✗,✗
bfd_plugin_specified_p,✓,✗,✗,✗
bfd_plugin_target_p,✓,✗,✗,✗
bfd_print_error,✓,✗,✗,✗
bfd_print_symbol_vandf,✓,✗,✗,✗
bfd_printable_arch_mach,✓,✗,✗,✗
bfd_ptr_bfd_null_error,✓,✗,✗,✗
bfd_put_bits,✓,✗,✗,✗
bfd_putb16,✓,✗,✗,✗
bfd_putb32,✓,✗,✗,✗
bfd_putb64,✓,✗,✗,✗
bfd_putl16,✓,✗,✗,✗
bfd_putl32,✓,✗,✗,✗
bfd_read,✓,✗,✗,✗
bfd_real_fopen,✓,✗,✗,✗
bfd_real_fseek,✓,✗,✗,✗
bfd_real_ftell,✓,✗,✗,✗
bfd_realloc,✓,✗,✗,✗
bfd_realloc_or_free,✓,✗,✗,✗
bfd_record_phdr,✓,✗,✗,✗
bfd_release,✓,✗,✗,✗
bfd_reloc_offset_in_range,✓,✗,✗,✗
bfd_reloc_type_lookup,✓,✗,✗,✗
bfd_relocate_contents,✓,✗,✗,✗
bfd_rename_section,✓,✗,✗,✗
bfd_restore_error_handler_caching,✓,✗,✗,✗
bfd_safe_read_leb128,✓,✗,✗,✗
bfd_scan_arch,✓,✗,✗,✗
bfd_scan_vma,✓,✗,✗,✗
bfd_section_already_linked_table_insert,✓,✗,✗,✗
bfd_section_already_linked_table_lookup,✓,✗,✗,✗
bfd_section_from_elf_index,✓,✗,✗,✗
bfd_section_from_phdr,✓,✗,✗,✗
bfd_section_from_shdr,✓,✗,✗,✗
bfd_section_hash_newfunc,✓,✗,✗,✗
bfd_section_init,✓,✗,✗,✗
bfd_section_list_clear,✓,✗,✗,✗
bfd_section_size_insane,✓,✗,✗,✗
bfd_sections_find_if,✓,✗,✗,✗
bfd_seek,✓,✗,✗,✗
bfd_set_default_target,✓,✗,✓,✓
bfd_set_error,✓,✗,✓,✓
bfd_set_error_handler,✓,✗,✗,✗
bfd_set_error_handler_caching,✓,✗,✗,✗
bfd_set_error_program_name,✓,✓,✓,✓
bfd_set_file_flags,✓,✗,✗,✗
bfd_set_filename,✓,✗,✗,✗
bfd_set_format,✓,✗,✗,✗
bfd_set_gp_value,✓,✗,✗,✗
bfd_set_input_error,✓,✗,✗,✗
bfd_set_lto_type,✓,✗,✗,✗
bfd_set_section_contents,✓,✗,✗,✗
bfd_set_section_flags,✓,✗,✗,✗
bfd_set_section_size,✓,✗,✗,✗
bfd_set_start_address,✓,✗,✗,✗
bfd_set_symtab,✓,✗,✗,✗
bfd_simple_get_relocated_section_contents,✓,✗,✗,✗
bfd_slurp_armap,✓,✗,✗,✗
bfd_slurp_extended_name_table,✓,✗,✗,✗
bfd_sprintf_vma,✓,✗,✗,✗
bfd_stab_cleanup,✓,✗,✗,✗
bfd_stab_section_find_nearest_line,✓,✗,✗,✗
bfd_stat,✓,✗,✗,✗
bfd_stringtab_add,✓,✗,✗,✗
bfd_stringtab_emit,✓,✗,✗,✗
bfd_stringtab_free,✓,✗,✗,✗
bfd_stringtab_init,✓,✗,✗,✗
bfd_stringtab_size,✓,✗,✗,✗
bfd_sym_from_r_symndx,✓,✗,✗,✗
bfd_symbol_info,✓,✗,✗,✗
bfd_target_list,✓,✗,✓,✓
bfd_tell,✓,✗,✗,✗
bfd_thread_cleanup,✓,✗,✗,✗
bfd_unlink_from_archive_parent,✓,✗,✗,✗
bfd_unlock,✓,✗,✗,✗
bfd_unrecognized_reloc,✓,✗,✗,✗
bfd_update_compression_header,✓,✗,✗,✗
bfd_wrapped_link_hash_lookup,✓,✗,✗,✗
bfd_write,✓,✗,✗,✗
bfd_write_archive_contents,✓,✗,✗,✗
bfd_write_bigendian_4byte_int,✓,✗,✗,✗
bfd_write_merged_section,✓,✗,✗,✗
bfd_write_section_stabs,✓,✗,✗,✗
bfd_write_stab_strings,✓,✗,✗,✗
bfd_x86_elf_adjust_dynamic_symbol,✓,✗,✗,✗
bfd_x86_elf_check_relocs,✓,✗,✗,✗
bfd_x86_elf_create_sframe_plt,✓,✗,✗,✗
bfd_x86_elf_dtpoff_base,✓,✗,✗,✗
bfd_x86_elf_early_size_sections,✓,✗,✗,✗
bfd_x86_elf_finish_dynamic_sections,✓,✗,✗,✗
bfd_x86_elf_fixup_symbol,✓,✗,✗,✗
bfd_x86_elf_get_synthetic_symtab,✓,✗,✗,✗
bfd_x86_elf_late_size_sections,✓,✗,✗,✗
bfd_x86_elf_link_check_relocs,✓,✗,✗,✗
bfd_x86_elf_link_fixup_ifunc_symbol,✓,✗,✗,✗
bfd_x86_elf_link_hash_newfunc,✓,✗,✗,✗
bfd_x86_elf_link_hash_table_create,✓,✗,✗,✗
bfd_x86_elf_link_relax_section,✓,✗,✗,✗
bfd_x86_elf_link_report_relative_reloc,✓,✗,✗,✗
bfd_x86_elf_link_report_tls_transition_error,✓,✗,✗,✗
bfd_x86_elf_link_setup_gnu_properties,✓,✗,✗,✗
bfd_x86_elf_link_symbol_references_local,✓,✗,✗,✗
bfd_x86_elf_merge_gnu_properties,✓,✗,✗,✗
bfd_x86_elf_parse_gnu_properties,✓,✗,✗,✗
bfd_x86_elf_set_tls_module_base,✓,✗,✗,✗
bfd_x86_elf_write_sframe_plt,✓,✗,✗,✗
bfd_xalloc,✓,✗,✗,✗
bfd_xcoff_stringtab_init,✓,✗,✗,✗
bfd_zalloc,✓,✗,✗,✗
bfd_zmalloc,✓,✗,✗,✗
bi_windup,✓,✗,✗,✗
binary_canonicalize_symtab,✓,✗,✗,✗
binary_get_section_contents,✓,✗,✗,✗
binary_object_p,✓,✗,✗,✗
binary_set_section_contents,✓,✗,✗,✗
bindtextdomain,✗,✓,✓,✓
build_tree,✓,✗,✗,✗
buildargv,✓,✗,✓,✓
buy_and_read,✓,✗,✗,✗
cache_bclose,✓,✗,✗,✗
cache_bflush,✓,✗,✗,✗
cache_bmmap,✓,✗,✗,✗
cache_bread,✓,✗,✗,✗
cache_bseek,✓,✗,✗,✗
cache_bstat,✓,✗,✗,✗
cache_btell,✓,✗,✗,✗
cache_bwrite,✓,✗,✗,✗
calloc,✗,✗,✗,✓
canonical_filename_eq,✓,✗,✗,✗
check_build_id_file,✓,✗,✗,✗
check_dynsym,✓,✗,✗,✗
check_for_relocs,✓,✗,✗,✗
chmod,✗,✗,✓,✓
choose_tmpdir,✓,✗,✗,✗
cie_eq,✓,✗,✗,✗
close_one,✓,✗,✗,✗
coff_amd64_reloc,✓,✗,✗,✗
coff_amd64_reloc_name_lookup,✓,✗,✗,✗
coff_amd64_reloc_type_lookup,✓,✗,✗,✗
coff_amd64_rtype_to_howto,✓,✗,✗,✗
coff_bfd_make_debug_symbol,✓,✗,✗,✗
coff_bigobj_swap_aux_in,✓,✗,✗,✗
coff_bigobj_swap_aux_out,✓,✗,✗,✗
coff_bigobj_swap_filehdr_in,✓,✗,✗,✗
coff_bigobj_swap_filehdr_out,✓,✗,✗,✗
coff_bigobj_swap_sym_in,✓,✗,✗,✗
coff_bigobj_swap_sym_out,✓,✗,✗,✗
coff_canonicalize_reloc,✓,✗,✗,✗
coff_canonicalize_symtab,✓,✗,✗,✗
coff_classify_symbol,✓,✗,✗,✗
coff_compute_section_file_positions,✓,✗,✗,✗
coff_count_linenumbers,✓,✗,✗,✗
coff_find_nearest_line_with_names,✓,✗,✗,✗
coff_get_normalized_symtab,✓,✗,✗,✗
coff_get_reloc_upper_bound,✓,✗,✗,✗
coff_get_symbol_info,✓,✗,✗,✗
coff_get_symtab_upper_bound,✓,✗,✗,✗
coff_i386_reloc,✓,✗,✗,✗
coff_i386_reloc_name_lookup,✓,✗,✗,✗
coff_i386_reloc_type_lookup,✓,✗,✗,✗
coff_i386_rtype_to_howto,✓,✗,✗,✗
coff_link_check_archive_element,✓,✗,✗,✗
coff_make_empty_symbol,✓,✗,✗,✗
coff_mangle_symbols,✓,✗,✗,✗
coff_new_section_hook,✓,✗,✗,✗
coff_object_cleanup,✓,✗,✗,✗
coff_object_p,✓,✗,✗,✗
coff_pe_amd64_relocate_section,✓,✗,✗,✗
coff_pe_i386_relocate_section,✓,✗,✗,✗
coff_print_aux,✓,✗,✗,✗
coff_print_symbol,✓,✗,✗,✗
coff_real_object_p,✓,✗,✗,✗
coff_renumber_symbols,✓,✗,✗,✗
coff_section_from_bfd_index,✓,✗,✗,✗
coff_set_alignment_hook,✓,✗,✗,✗
coff_set_arch_mach,✓,✗,✗,✗
coff_set_arch_mach_hook,✓,✗,✗,✗
coff_set_section_contents,✓,✗,✗,✗
coff_slurp_symbol_table,✓,✗,✗,✗
coff_swap_filehdr_in,✓,✗,✗,✗
coff_swap_reloc_in,✓,✗,✗,✗
coff_swap_reloc_out,✓,✗,✗,✗
coff_swap_scnhdr_in,✓,✗,✗,✗
coff_write_alien_symbol,✓,✗,✗,✗
coff_write_auxent_fname,✓,✗,✗,✗
coff_write_linenumbers,✓,✗,✗,✗
coff_write_object_contents,✓,✗,✗,✗
coff_write_symbol,✓,✗,✗,✗
coff_write_symbols,✓,✗,✗,✗
comdat_delf,✓,✗,✗,✗
comp_unit_find_line,✓,✗,✗,✗
comp_unit_find_nearest_line,✓,✗,✗,✗
comp_unit_maybe_decode_line_info,✓,✗,✗,✗
compress,✓,✗,✗,✗
compress2,✓,✗,✗,✗
compressBound,✓,✗,✗,✗
compress_block,✓,✗,✗,✗
compute_bucket_count,✓,✗,✗,✗
concat,✓,✗,✗,✗
concat_copy,✓,✗,✗,✗
concat_copy2,✓,✗,✗,✗
concat_filename,✓,✗,✗,✗
concat_length,✓,✗,✗,✗
copy_name,✓,✗,✗,✗
copy_special_section_fields,✓,✗,✗,✗
core_file_matches_executable_p,✓,✗,✗,✗
cplus_demangle,✓,✗,✗,✗
cplus_demangle_mangled_name,✓,✗,✗,✗
cplus_demangle_name_to_style,✓,✗,✗,✗
cplus_demangle_print,✓,✗,✗,✗
cplus_demangle_print_callback,✓,✗,✗,✗
cplus_demangle_type,✓,✗,✗,✗
cplus_demangle_v3,✓,✗,✗,✗
crc32,✓,✗,✗,✗
crc32_combine,✓,✗,✗,✗
crc32_combine64,✓,✗,✗,✗
crc32_combine_gen,✓,✗,✗,✗
crc32_combine_gen64,✓,✗,✗,✗
d_append_char,✓,✗,✗,✗
d_append_num,✓,✗,✗,✗
d_append_string,✓,✗,✗,✗
d_bare_function_type,✓,✗,✗,✗
d_call_offset,✓,✗,✗,✗
d_count_templates_scopes,✓,✗,✗,✗
d_cv_qualifiers,✓,✗,✗,✗
d_demangle_callback,✓,✗,✗,✗
d_discriminator,✓,✗,✗,✗
d_encoding,✓,✗,✗,✗
d_expr_primary,✓,✗,✗,✗
d_expression,✓,✗,✗,✗
d_exprlist,✓,✗,✗,✗
d_find_pack,✓,✗,✗,✗
d_function_type,✓,✗,✗,✗
d_growable_string_callback_adapter,✓,✗,✗,✗
d_index_template_argument,✓,✗,✗,✗
d_lookup_template_argument,✓,✗,✗,✗
d_make_comp,✓,✗,✗,✗
d_make_name,✓,✗,✗,✗
d_maybe_module_name,✓,✗,✗,✗
d_maybe_print_designated_init,✓,✗,✗,✗
d_maybe_print_fold_expression,✓,✗,✗,✗
d_name,✓,✗,✗,✗
d_number,✓,✗,✗,✗
d_operator_name,✓,✗,✗,✗
d_pack_length,✓,✗,✗,✗
d_parmlist,✓,✗,✗,✗
d_prefix,✓,✗,✗,✗
d_print_array_type,✓,✗,✗,✗
d_print_comp,✓,✗,✗,✗
d_print_comp_inner,✓,✗,✗,✗
d_print_expr_op,✓,✗,✗,✗
d_print_function_type,✓,✗,✗,✗
d_print_lambda_parm_name,✓,✗,✗,✗
d_print_mod,✓,✗,✗,✗
d_print_mod_list,✓,✗,✗,✗
d_print_subexpr,✓,✗,✗,✗
d_ref_qualifier,✓,✗,✗,✗
d_source_name,✓,✗,✗,✗
d_special_name,✓,✗,✗,✗
d_substitution,✓,✗,✗,✗
d_template_arg,✓,✗,✗,✗
d_template_args,✓,✗,✗,✗
d_template_head,✓,✗,✗,✗
d_template_param,✓,✗,✗,✗
d_template_parm,✓,✗,✗,✗
d_unqualified_name,✓,✗,✗,✗
dcgettext,✗,✓,✓,✓
debug_printf,✓,✗,✗,✗
decompress_contents,✓,✗,✗,✗
decoration_hash_newfunc,✓,✗,✗,✗
default_indirect_link_order,✓,✗,✗,✗
deflate,✓,✗,✗,✗
deflateBound,✓,✗,✗,✗
deflateCopy,✓,✗,✗,✗
deflateEnd,✓,✗,✗,✗
deflateGetDictionary,✓,✗,✗,✗
deflateInit2_,✓,✗,✗,✗
deflateInit_,✓,✗,✗,✗
deflateParams,✓,✗,✗,✗
deflatePending,✓,✗,✗,✗
deflatePrime,✓,✗,✗,✗
deflateReset,✓,✗,✗,✗
deflateResetKeep,✓,✗,✗,✗
deflateSetDictionary,✓,✗,✗,✗
deflateSetHeader,✓,✗,✗,✗
deflateStateCheck,✓,✗,✗,✗
deflateTune,✓,✗,✗,✗
deflate_fast,✓,✗,✗,✗
deflate_slow,✓,✗,✗,✗
deflate_stored,✓,✗,✗,✗
del_abbrev,✓,✗,✗,✗
demangle_binder,✓,✗,✗,✗
demangle_const,✓,✗,✗,✗
demangle_const_uint,✓,✗,✗,✗
demangle_generic_arg,✓,✗,✗,✗
demangle_path,✓,✗,✗,✗
demangle_path_maybe_open_generics,✓,✗,✗,✗
demangle_type,✓,✗,✗,✗
deregister_tm_clones,✓,✗,✗,✗
display_info,✓,✗,✗,✗
display_utf8_char,✓,✗,✓,✓
dlang_decode_backref,✓,✗,✗,✗
dlang_demangle,✓,✗,✗,✗
dlang_function_type,✓,✗,✗,✗
dlang_function_type_noreturn,✓,✗,✗,✗
dlang_identifier,✓,✗,✗,✗
dlang_lname,✓,✗,✗,✗
dlang_number,✓,✗,✗,✗
dlang_parse_integer,✓,✗,✗,✗
dlang_parse_mangle,✓,✗,✗,✗
dlang_parse_qualified,✓,✗,✗,✗
dlang_parse_real,✓,✗,✗,✗
dlang_parse_template,✓,✗,✗,✗
dlang_symbol_name_p,✓,✗,✗,✗
dlang_type,✓,✗,✗,✗
dlang_type_backref,✓,✗,✗,✗
dlang_type_modifiers.constprop.0,✓,✗,✗,✗
dlang_value,✓,✗,✗,✗
do_display_target,✓,✗,✗,✗
do_slurp_bsd_armap,✓,✗,✗,✗
dummy_reloc16_estimate,✓,✗,✗,✗
dupargv,✓,✗,✓,✓
dwarf1_unit_find_nearest_line,✓,✗,✗,✗
elf32_dt_relr_bitmap_add,✓,✗,✗,✗
elf32_generic_link_add_symbols,✓,✗,✗,✗
elf32_iamcu_elf_object_p,✓,✗,✗,✗
elf32_x86_64_elf_object_p,✓,✗,✗,✗
elf64_dt_relr_bitmap_add,✓,✗,✗,✗
elf64_generic_link_add_symbols,✓,✗,✗,✗
elf64_x86_64_elf_object_p,✓,✗,✗,✗
elf_add_obj_attr_int_string,✓,✗,✗,✗
elf_add_obj_attr_string,✓,✗,✗,✗
elf_adjust_dynstr_offsets,✓,✗,✗,✗
elf_append_rel,✓,✗,✗,✗
elf_append_rela,✓,✗,✗,✗
elf_attr_strdup,✓,✗,✗,✗
elf_collect_gnu_hash_codes,✓,✗,✗,✗
elf_collect_hash_codes,✓,✗,✗,✗
elf_create_symbuf,✓,✗,✗,✗
elf_fake_sections,✓,✗,✗,✗
elf_final_link_free,✓,✗,✗,✗
elf_find_and_remove_property,✓,✗,✗,✗
elf_gc_allocate_got_offsets,✓,✗,✗,✗
elf_gc_mark_debug_section,✓,✗,✗,✗
elf_gc_propagate_vtable_entries_used,✓,✗,✗,✗
elf_gc_smash_unused_vtentry_relocs,✓,✗,✗,✗
elf_gc_sweep_symbol,✓,✗,✗,✗
elf_gnu_hash_process_symidx,✓,✗,✗,✗
elf_i386_early_size_sections,✓,✗,✗,✗
elf_i386_fake_sections,✓,✗,✗,✗
elf_i386_finish_dynamic_sections,✓,✗,✗,✗
elf_i386_finish_dynamic_symbol,✓,✗,✗,✗
elf_i386_finish_local_dynamic_symbol,✓,✗,✗,✗
elf_i386_get_synthetic_symtab,✓,✗,✗,✗
elf_i386_grok_prstatus,✓,✗,✗,✗
elf_i386_grok_psinfo,✓,✗,✗,✗
elf_i386_info_to_howto_rel,✓,✗,✗,✗
elf_i386_is_reloc_section,✓,✗,✗,✗
elf_i386_link_setup_gnu_properties,✓,✗,✗,✗
elf_i386_output_arch_local_syms,✓,✗,✗,✗
elf_i386_pie_finish_undefweak_symbol,✓,✗,✗,✗
elf_i386_reloc_name_lookup,✓,✗,✗,✗
elf_i386_reloc_type_class,✓,✗,✗,✗
elf_i386_reloc_type_lookup,✓,✗,✗,✗
elf_i386_relocate_section,✓,✗,✗,✗
elf_i386_rtype_to_howto,✓,✗,✗,✗
elf_i386_scan_relocs,✓,✗,✗,✗
elf_i386_tls_transition,✓,✗,✗,✗
elf_i386_tpoff,✓,✗,✗,✗
elf_link_add_glibc_verneed,✓,✗,✗,✗
elf_link_add_to_first_hash,✓,✗,✗,✗
elf_link_adjust_relocs,✓,✗,✗,✗
elf_link_check_versioned_symbol,✓,✗,✗,✗
elf_link_first_hash_newfunc,✓,✗,✗,✗
elf_link_hash_lookup,✓,✗,✗,✗
elf_link_hash_traverse,✓,✗,✗,✗
elf_link_output_extsym,✓,✗,✗,✗
elf_link_output_symstrtab,✓,✗,✗,✗
elf_link_read_relocs_from_section,✓,✗,✗,✗
elf_link_sort_relocs.constprop.0,✓,✗,✗,✗
elf_merge_gnu_properties,✓,✗,✗,✗
elf_merge_st_other,✓,✗,✗,✗
elf_mmap_section_contents,✓,✗,✗,✗
elf_new_obj_attr,✓,✗,✗,✗
elf_parse_notes,✓,✗,✗,✗
elf_phdr,✓,✗,✗,✗
elf_read_notes,✓,✗,✗,✗
elf_slurp_reloc_table_from_section,✓,✗,✗,✗
elf_sort_segments,✓,✗,✗,✗
elf_strtab_hash_newfunc,✓,✗,✗,✗
elf_swap_ehdr_in,✓,✗,✗,✗
elf_swap_ehdr_out,✓,✗,✗,✗
elf_swap_shdr_in,✓,✗,✗,✗
elf_swap_shdr_out,✓,✗,✗,✗
elf_sym_name_compare,✓,✗,✗,✗
elf_vxworks_add_dynamic_entries,✓,✗,✗,✗
elf_vxworks_add_symbol_hook,✓,✗,✗,✗
elf_vxworks_create_dynamic_sections,✓,✗,✗,✗
elf_vxworks_final_write_processing,✓,✗,✗,✗
elf_vxworks_finish_dynamic_entry,✓,✗,✗,✗
elf_vxworks_gott_symbol_p,✓,✗,✗,✗
elf_vxworks_link_output_symbol_hook,✓,✗,✗,✗
elf_write_gnu_properties,✓,✗,✗,✗
elf_x86_64_add_glibc_version_dependency,✓,✗,✗,✗
elf_x86_64_add_symbol_hook,✓,✗,✗,✗
elf_x86_64_additional_program_headers,✓,✗,✗,✗
elf_x86_64_copy_private_section_data,✓,✗,✗,✗
elf_x86_64_early_size_sections,✓,✗,✗,✗
elf_x86_64_finish_dynamic_sections,✓,✗,✗,✗
elf_x86_64_finish_dynamic_symbol,✓,✗,✗,✗
elf_x86_64_finish_local_dynamic_symbol,✓,✗,✗,✗
elf_x86_64_get_synthetic_symtab,✓,✗,✗,✗
elf_x86_64_grok_prstatus,✓,✗,✗,✗
elf_x86_64_grok_psinfo,✓,✗,✗,✗
elf_x86_64_info_to_howto,✓,✗,✗,✗
elf_x86_64_is_reloc_section,✓,✗,✗,✗
elf_x86_64_link_setup_gnu_properties,✓,✗,✗,✗
elf_x86_64_merge_symbol,✓,✗,✗,✗
elf_x86_64_need_pic,✓,✗,✗,✗
elf_x86_64_output_arch_local_syms,✓,✗,✗,✗
elf_x86_64_reloc_name_lookup,✓,✗,✗,✗
elf_x86_64_reloc_type_class,✓,✗,✗,✗
elf_x86_64_relocate_section,✓,✗,✗,✗
elf_x86_64_rtype_to_howto,✓,✗,✗,✗
elf_x86_64_scan_relocs,✓,✗,✗,✗
elf_x86_64_tls_transition,✓,✗,✗,✗
elf_x86_64_tpoff,✓,✗,✗,✗
elf_x86_64_write_core_note,✓,✗,✗,✗
elf_x86_allocate_dynrelocs,✓,✗,✗,✗
elf_x86_allocate_local_dynreloc,✓,✗,✗,✗
elf_x86_compute_dl_relr_bitmap,✓,✗,✗,✗
