Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_coff_link_hash_newfunc,✓,✗,✗,✗
bfd_coff_link_hash_table_create,✓,✗,✗,✗
bfd_coff_link_hash_table_init,✓,✗,✗,✗
bfd_coff_link_input_bfd,✓,✗,✗,✗
bfd_coff_read_internal_relocs,✓,✗,✗,✗
bfd_coff_read_string_table,✓,✗,✗,✗
bfd_coff_reloc_link_order,✓,✗,✗,✗
bfd_coff_section_already_linked,✓,✗,✗,✗
bfd_coff_set_symbol_class,✓,✗,✗,✗
bfd_coff_write_armap,✓,✗,✗,✗
bfd_coff_write_global_sym,✓,✗,✗,✗
bfd_coff_write_task_globals,✓,✗,✗,✗
bfd_compress_section,✓,✗,✗,✗
bfd_compress_section_contents,✓,✗,✗,✗
bfd_compute_and_write_armap,✓,✗,✗,✗
bfd_construct_extended_name_table,✓,✗,✗,✗
bfd_convert_section_contents,✓,✗,✗,✗
bfd_convert_section_setup,✓,✗,✗,✗
bfd_core_file_failing_command,✓,✗,✗,✗
bfd_core_file_failing_signal,✓,✗,✗,✗
bfd_core_file_pid,✓,✗,✗,✗
bfd_create,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,✓,✗,✗,✗
bfd_decode_symclass,✓,✗,✗,✗
bfd_default_compatible,✓,✗,✗,✗
bfd_default_link_order,✓,✗,✗,✗
bfd_default_reloc_type_lookup,✓,✗,✗,✗
bfd_default_scan,✓,✗,✗,✗
bfd_default_set_arch_mach,✓,✗,✗,✗
bfd_delete_bfd,✓,✗,✓,✓
bfd_demangle,✓,✗,✗,✗
bfd_discard_section_stabs,✓,✗,✗,✗
bfd_dont_truncate_arname,✓,✗,✗,✗
bfd_doprnt,✓,✗,✗,✓
bfd_doprnt_scan,✓,✗,✗,✓
bfd_dummy_target,✓,✗,✗,✗
bfd_dwarf1_cleanup_debug_info,✓,✗,✗,✗
bfd_dwarf1_find_nearest_line,✓,✗,✗,✗
bfd_dwarf2_cleanup_debug_info,✓,✗,✗,✗
bfd_dwarf2_find_nearest_line,✓,✗,✗,✗
bfd_dwarf2_find_nearest_line_with_alt,✓,✗,✗,✗
bfd_dwarf2_find_symbol_bias,✓,✗,✗,✗
bfd_dwarf2_slurp_debug_info,✓,✗,✗,✗
bfd_elf32_bfd_from_remote_memory,✓,✗,✗,✗
bfd_elf32_checksum_contents,✓,✗,✗,✗
bfd_elf32_core_file_matches_executable_p,✓,✗,✗,✗
bfd_elf32_core_file_p,✓,✗,✗,✗
bfd_elf32_core_find_build_id,✓,✗,✗,✗
bfd_elf32_object_p,✓,✗,✗,✗
bfd_elf32_slurp_reloc_table,✓,✗,✗,✗
bfd_elf32_slurp_symbol_table,✓,✗,✗,✗
bfd_elf32_swap_dyn_in,✓,✗,✗,✗
bfd_elf32_swap_dyn_out,✓,✗,✗,✗
bfd_elf32_swap_phdr_in,✓,✗,✗,✗
bfd_elf32_swap_phdr_out,✓,✗,✗,✗
bfd_elf32_swap_reloc_in,✓,✗,✗,✗
bfd_elf32_swap_reloc_out,✓,✗,✗,✗
bfd_elf32_swap_reloca_in,✓,✗,✗,✗
bfd_elf32_swap_reloca_out,✓,✗,✗,✗
bfd_elf32_swap_symbol_in,✓,✗,✗,✗
bfd_elf32_swap_symbol_out,✓,✗,✗,✗
bfd_elf32_write_out_phdrs,✓,✗,✗,✗
